,Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
33,Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,5.28,4.19,4.35,0.78,,,
40,Mario Kart 7,3DS,2011.0,Racing,5.03,4.02,2.69,0.91,85.0,8.2,E
47,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,4.35,3.49,3.1,0.74,,,
53,Super Mario 3D Land,3DS,2011.0,Platform,4.89,3.0,2.14,0.78,90.0,8.4,E
62,New Super Mario Bros. 2,3DS,2012.0,Platform,3.66,3.14,2.47,0.63,78.0,7.2,E
73,Animal Crossing: New Leaf,3DS,2012.0,Simulation,2.03,2.36,4.39,0.39,88.0,8.7,E
96,Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,3.27,1.37,2.43,0.48,,,
108,Pokemon Sun/Moon,3DS,2016.0,Role-Playing,2.98,1.45,2.26,0.45,,,
184,Tomodachi Life,3DS,2013.0,Simulation,0.97,2.11,1.9,0.24,,,
235,Luigi's Mansion: Dark Moon,3DS,2013.0,Action,1.8,1.39,1.11,0.29,86.0,8.4,E
259,The Legend of Zelda: Ocarina of Time,3DS,2011.0,Action,2.09,1.31,0.62,0.31,,,
312,Monster Hunter 4 Ultimate,3DS,2014.0,Role-Playing,0.68,0.48,2.62,0.11,86.0,8.7,T
318,Nintendogs + cats,3DS,2011.0,Simulation,1.44,1.41,0.73,0.27,,,
385,Monster Hunter 4,3DS,2013.0,Role-Playing,0.0,0.0,3.44,0.0,,,
406,Monster Hunter X,3DS,2015.0,Action,0.27,0.21,2.79,0.05,,,
412,Yokai Watch 2 Ganso/Honke,3DS,2014.0,Role-Playing,0.09,0.0,3.18,0.01,,,
448,The Legend of Zelda: A Link Between Worlds,3DS,2013.0,Action,1.4,1.01,0.46,0.23,91.0,8.9,E
457,Animal Crossing: Happy Home Designer,3DS,2015.0,Simulation,0.51,1.02,1.4,0.12,66.0,6.9,E
532,Monster Hunter Tri,3DS,2011.0,Role-Playing,0.46,0.29,1.96,0.07,,,
563,Yokai Watch 2 Shinuchi,3DS,2014.0,Role-Playing,0.0,0.0,2.68,0.0,,,
677,The Legend of Zelda: Majora's Mask 3D,3DS,2015.0,Action,1.15,0.55,0.47,0.17,89.0,9,E10+
690,Paper Mario: Sticker Star,3DS,2012.0,Role-Playing,1.12,0.41,0.64,0.14,75.0,5.6,E
694,Yokai Watch Busters,3DS,2015.0,Action,0.0,0.0,2.29,0.0,,,
798,Yokai Watch,3DS,2013.0,Role-Playing,0.25,0.45,1.33,0.05,,,
807,Mario & Luigi: Dream Team,3DS,2013.0,Role-Playing,0.89,0.58,0.46,0.14,,,
848,Fire Emblem: Awakening,3DS,2012.0,Role-Playing,0.9,0.45,0.54,0.13,92.0,9.1,T
901,Mario Party: Island Tour,3DS,2013.0,Misc,0.62,0.64,0.55,0.11,57.0,6.3,E
912,Donkey Kong Country Returns,3DS,2013.0,Platform,0.74,0.62,0.41,0.13,,,
952,Kirby: Triple Deluxe,3DS,2014.0,Platform,0.61,0.34,0.79,0.09,80.0,8.8,E
980,Professor Layton and the Mask of Miracle,3DS,2011.0,Puzzle,0.32,0.97,0.36,0.13,,,
1079, Fire Emblem Fates,3DS,2015.0,Role-Playing,0.81,0.23,0.52,0.11,,,
1168,Kingdom Hearts 3D: Dream Drop Distance,3DS,2012.0,Action,0.88,0.26,0.34,0.1,75.0,8.2,E10+
1244,Puzzle & Dragons,3DS,2013.0,Role-Playing,0.0,0.0,1.51,0.0,,,
1290,LEGO City Undercover,3DS,2013.0,Platform,0.52,0.77,0.07,0.11,,,
1302,Dragon Quest VII: Warriors of Eden,3DS,2013.0,Role-Playing,0.06,0.09,1.3,0.01,,,
1395,Yoshi's New Island,3DS,2014.0,Platform,0.48,0.53,0.28,0.09,64.0,6.1,E
1399,Bravely Default: Flying Fairy,3DS,2012.0,Role-Playing,0.5,0.32,0.49,0.08,,,
1466,Yokai Watch 3,3DS,2016.0,Action,0.0,0.0,1.33,0.0,,,
1551,Kid Icarus: Uprising,3DS,2012.0,Action,0.48,0.35,0.36,0.07,83.0,8.7,E10+
1552,Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012.0,Role-Playing,0.44,0.29,0.47,0.07,59.0,6.3,E
1596,Pokemon Super Mystery Dungeon,3DS,2015.0,Role-Playing,0.48,0.35,0.34,0.08,69.0,8.8,E
1656,Super Street Fighter IV: 3D Edition,3DS,2011.0,Fighting,0.55,0.44,0.14,0.09,85.0,8.1,T
1708,Mario & Sonic at the London 2012 Olympic Games,3DS,2012.0,Sports,0.18,0.64,0.27,0.09,,,
1784,Pokemon Rumble Blast,3DS,2011.0,Action,0.47,0.26,0.35,0.07,56.0,7.1,E10+
1807,LEGO Star Wars III: The Clone Wars,3DS,2011.0,Action,0.61,0.43,0.0,0.09,67.0,6.1,E10+
1814,Fantasy Life,3DS,2012.0,Role-Playing,0.33,0.37,0.37,0.06,73.0,8.6,E10+
1817,The Legend of Zelda: Tri Force Heroes,3DS,2015.0,Action,0.53,0.33,0.17,0.08,73.0,7.6,E
2036,Sonic Generations,3DS,2011.0,Platform,0.44,0.47,0.01,0.09,66.0,6.9,E
2148,Dragon Quest Monsters: Terry's Wonderland 3D,3DS,2012.0,Role-Playing,0.0,0.0,0.96,0.0,,,
2155,Mario Tennis Open,3DS,2012.0,Sports,0.26,0.29,0.34,0.05,69.0,6.9,E
2156,PilotWings Resort,3DS,2011.0,Simulation,0.4,0.36,0.13,0.07,71.0,7.4,E
2188,Star Fox 64 3D,3DS,2011.0,Shooter,0.48,0.27,0.13,0.06,81.0,8.2,E10+
2219,Kirby: Planet Robobot,3DS,2016.0,Action,0.28,0.14,0.47,0.04,81.0,8.7,E
2240,Disney Magical World,3DS,2013.0,Adventure,0.17,0.2,0.53,0.03,71.0,7.5,E
2264,Harvest Moon 3D: A New Beginning,3DS,2012.0,Action,0.41,0.17,0.3,0.05,74.0,8.2,E
2313,LEGO Marvel Super Heroes,3DS,2013.0,Action,0.42,0.36,0.04,0.07,61.0,5.2,E10+
2368,Resident Evil: Revelations,3DS,2012.0,Action,0.3,0.22,0.3,0.05,82.0,8.5,M
2387,Monster Strike 3DS,3DS,2015.0,Action,0.0,0.0,0.87,0.0,,,
2414,Dragon Quest VIII: Journey of the Cursed King,3DS,2015.0,Role-Playing,0.0,0.0,0.86,0.0,,,T
2498,Tales of the Abyss,3DS,2011.0,Role-Playing,0.43,0.19,0.14,0.06,75.0,7.6,T
2560,Professor Layton vs Phoenix Wright: Ace Attorney,3DS,2012.0,Puzzle,0.2,0.26,0.3,0.04,79.0,8.5,T
2597,Dragon Quest Monsters 2,3DS,2014.0,Role-Playing,0.0,0.0,0.79,0.0,,,
2697,The Sims 3,3DS,2011.0,Simulation,0.3,0.37,0.03,0.07,52.0,3.3,T
2710,Mario & Luigi: Paper Jam,3DS,2015.0,Role-Playing,0.16,0.29,0.26,0.04,,,
2714,Professor Layton and the Azran Legacy,3DS,2013.0,Puzzle,0.0,0.48,0.25,0.03,81.0,7.9,E10+
2717,Nintendo Presents: New Style Boutique 2 - Fashion Forward,3DS,2015.0,Misc,0.03,0.66,0.02,0.04,,,
2726,LEGO Batman 2: DC Super Heroes,3DS,2012.0,Action,0.41,0.28,0.0,0.06,72.0,5.2,E10+
2751,Rhythm Heaven: The Best+,3DS,2015.0,Misc,0.0,0.03,0.72,0.0,,,
2799,Style Savvy: Trendsetters,3DS,2012.0,Simulation,0.16,0.02,0.53,0.01,76.0,8,E
2839,Persona Q: Shadow of the Labyrinth,3DS,2014.0,Role-Playing,0.34,0.07,0.27,0.04,83.0,8.1,M
2946,The LEGO Movie Videogame,3DS,2014.0,Action,0.28,0.31,0.05,0.05,,5.4,E10+
3149,Rayman 3D,3DS,2011.0,Platform,0.23,0.35,0.0,0.06,61.0,6.6,E
3177,Dragon Quest Monsters Joker 3,3DS,2016.0,Role-Playing,0.0,0.0,0.63,0.0,,,
3184,Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,3DS,2012.0,Misc,0.0,0.0,0.63,0.0,,,
3205,Angry Birds Trilogy,3DS,2012.0,Action,0.38,0.2,0.0,0.05,62.0,4.6,E
3230,LEGO Jurassic World,3DS,2015.0,Action,0.31,0.23,0.03,0.05,,7.2,E10+
3236,LEGO Pirates of the Caribbean: The Video Game,3DS,2011.0,Action,0.29,0.27,0.0,0.06,71.0,7.3,E10+
3260,Toshochu: Run for Money,3DS,2012.0,Adventure,0.0,0.0,0.62,0.0,,,
3279,Cooking Mama 4: Kitchen Magic!,3DS,2011.0,Simulation,0.5,0.07,0.0,0.05,56.0,6,E
3280,Scribblenauts: Unlimited,3DS,2012.0,Action,0.56,0.01,0.0,0.05,73.0,7.4,E10+
3358, Frozen: Olaf's Quest,3DS,2013.0,Platform,0.27,0.27,0.0,0.05,,,
3453,Shin Megami Tensei IV,3DS,2013.0,Role-Playing,0.28,0.0,0.27,0.03,83.0,8.3,M
3503,Skylanders: Spyro's Adventure,3DS,2011.0,Action,0.32,0.2,0.0,0.05,82.0,4.9,E10+
3546,Rune Factory 4,3DS,2012.0,Role-Playing,0.32,0.0,0.21,0.03,78.0,8.1,E10+
3556,Xenoblade Chronicles,3DS,2015.0,Role-Playing,0.27,0.14,0.12,0.04,,,
3593,Yokai Sangokushi,3DS,2016.0,Action,0.0,0.0,0.56,0.0,,,
3718,Final Fantasy Explorers,3DS,2014.0,Role-Playing,0.16,0.07,0.28,0.02,69.0,7,E10+
3745,Inazuma Eleven GO,3DS,2011.0,Role-Playing,0.0,0.05,0.48,0.0,,,
3788,Mario & Sonic at the Rio 2016 Olympic Games,3DS,2016.0,Action,0.05,0.21,0.25,0.02,,,
3967,Theatrhythm: Final Fantasy,3DS,2012.0,Misc,0.22,0.07,0.18,0.02,78.0,7.8,E10+
4008,Ridge Racer 3D,3DS,2011.0,Racing,0.19,0.15,0.12,0.03,75.0,7.2,E
4013,Super Monkey Ball 3D,3DS,2011.0,Action,0.26,0.15,0.05,0.04,55.0,5.5,E
4025,Sonic Lost World,3DS,2013.0,Platform,0.24,0.14,0.07,0.03,59.0,6.5,E10+
4039,Resident Evil: The Mercenaries 3D,3DS,2011.0,Action,0.16,0.16,0.13,0.03,65.0,6.4,M
4043,Epic Mickey: Power of Illusion,3DS,2012.0,Action,0.36,0.04,0.04,0.04,,,
4051,Pokemon Art Academy ,3DS,2014.0,Misc,0.18,0.12,0.16,0.03,76.0,7.7,E
4056,Asphalt 3D,3DS,2011.0,Racing,0.27,0.16,0.02,0.04,43.0,4.4,E10+
4068,Steel Diver,3DS,2011.0,Action,0.31,0.09,0.05,0.03,58.0,6.3,E10+
4069,Bravely Second: End Layer,3DS,2015.0,Role-Playing,0.17,0.1,0.18,0.03,81.0,7.4,T
4072,Puzzle & Dragons Z + Super Mario Bros. Edition,3DS,2015.0,Puzzle,0.06,0.07,0.34,0.01,,,
4096,Mario Golf: World Tour,3DS,2014.0,Sports,0.15,0.13,0.17,0.03,78.0,8.2,E
4194,Inazuma Eleven Go 2: Chrono Stone,3DS,2012.0,Role-Playing,0.0,0.01,0.46,0.0,,,
4206,Art Academy: Lessons for Everyone,3DS,2012.0,Action,0.2,0.04,0.21,0.02,81.0,7.6,E
4279,FIFA 15,3DS,2014.0,Sports,0.09,0.34,0.0,0.03,,2.4,E
4306,Lego Batman 3: Beyond Gotham,3DS,2014.0,Action,0.21,0.2,0.0,0.04,,6.4,E10+
4361,Dead or Alive: Dimensions,3DS,2011.0,Fighting,0.13,0.21,0.07,0.03,79.0,8.2,T
4480,Tetris Axis,3DS,2011.0,Puzzle,0.2,0.13,0.06,0.03,74.0,6.8,E
4488,Hyrule Warriors,3DS,2016.0,Action,0.17,0.13,0.11,0.03,,,
4519,Hometown Story,3DS,2013.0,Role-Playing,0.23,0.12,0.04,0.04,47.0,6,E10+
4618,Story of Seasons,3DS,2014.0,Simulation,0.0,0.14,0.27,0.01,76.0,8.2,E10+
4649,Attack on Titan: Humanity in Chains,3DS,2013.0,Action,0.0,0.0,0.42,0.0,46.0,4.5,M
4818,LEGO Harry Potter: Years 5-7,3DS,,Action,0.18,0.19,0.0,0.03,71.0,6.5,E10+
4866,LEGO The Lord of the Rings,3DS,2012.0,Action,0.2,0.16,0.0,0.03,61.0,7.6,E10+
4883,Project X Zone,3DS,2012.0,Role-Playing,0.18,0.04,0.15,0.02,70.0,7.3,T
4893,Madden NFL Football,3DS,2011.0,Sports,0.36,0.01,0.0,0.03,49.0,5.3,E
4902,FIFA 12,3DS,2011.0,Sports,0.08,0.26,0.0,0.05,,,
4905,Combat of Giants: Dinosaurs 3D,3DS,2011.0,Strategy,0.25,0.06,0.05,0.03,44.0,5.3,E10+
4946,Samurai Warriors Chronicles,3DS,2011.0,Action,0.12,0.05,0.2,0.01,61.0,7.7,T
4952,One Piece: Unlimited World Red,3DS,2013.0,Action,0.05,0.04,0.28,0.01,75.0,7.6,T
4975,Shin Megami Tensei: Devil Survivor Overclocked,3DS,2011.0,Role-Playing,0.28,0.01,0.06,0.03,78.0,8.2,T
4999,Phoenix Wright: Ace Attorney - Dual Destinies,3DS,2013.0,Adventure,0.0,0.0,0.38,0.0,,,
5002,Metal Gear Solid: Snake Eater 3D,3DS,2012.0,Action,0.15,0.11,0.1,0.02,78.0,7.8,M
5003,Raving Rabbids: Travel in Time 3D,3DS,2011.0,Platform,0.11,0.23,0.0,0.04,,,
5033,Etrian Odyssey IV: Legends of the Titans,3DS,2012.0,Role-Playing,0.12,0.05,0.2,0.01,,,
5056,Pro Evolution Soccer 2011 3D,3DS,2011.0,Sports,0.11,0.13,0.11,0.02,73.0,6.7,E
5115,Theatrhythm Final Fantasy: Curtain Call,3DS,2014.0,Misc,0.13,0.08,0.15,0.02,83.0,8.2,T
5224,Fossil Fighters: Frontier,3DS,2014.0,Role-Playing,0.08,0.04,0.23,0.01,57.0,4.8,E10+
5263,Sentouchu: Densetsu no Shinobi to Survival Battle!,3DS,2013.0,Action,0.0,0.0,0.35,0.0,,,
5408,Tom Clancy's Ghost Recon: Shadow Wars,3DS,2011.0,Strategy,0.22,0.09,0.0,0.03,77.0,7.9,T
5428,Disney Magic World 2,3DS,2015.0,Action,0.02,0.11,0.19,0.01,,,
5431,Angry Birds Star Wars,3DS,2013.0,Strategy,0.15,0.15,0.0,0.03,,3,E
5502,Dragon Ball Z: Extreme Butoden,3DS,2015.0,Fighting,0.12,0.03,0.16,0.02,61.0,6.6,T
5564,Hatsune Miku: Project Mirai DX,3DS,2015.0,Misc,0.16,0.04,0.1,0.02,80.0,8.5,E10+
5589,Dragon Ball Heroes: Ultimate Mission 2 ,3DS,2014.0,Strategy,0.0,0.0,0.32,0.0,,,
5728,Bust-A-Move Universe,3DS,2011.0,Puzzle,0.08,0.15,0.06,0.03,49.0,4.8,E
5731,Taiko Drum Master: Don and Katsu's Space-Time Great Adventure,3DS,2014.0,Action,0.0,0.0,0.31,0.0,,,
5749,LEGO Legends of Chima: Laval's Journey,3DS,2013.0,Adventure,0.18,0.1,0.0,0.03,65.0,3.6,E10+
5789,Shin Megami Tensei: Devil Summoner - Soul Hackers,3DS,2012.0,Role-Playing,0.13,0.02,0.14,0.01,,,
5840,Mario Party: Star Rush,3DS,2016.0,Misc,0.08,0.13,0.08,0.02,68.0,6.8,E
5865,Tom Clancy's Splinter Cell 3D,3DS,2011.0,Action,0.14,0.07,0.07,0.02,53.0,5.5,T
5874,Harvest Moon: The Tale of Two Towns,3DS,,Simulation,0.28,0.0,0.0,0.02,,,
5886,One Piece Unlimited Cruise SP,3DS,2011.0,Action,0.0,0.0,0.3,0.0,46.0,7.3,
5954,Disney Infinity,3DS,2013.0,Action,0.17,0.1,0.0,0.02,,,
6028,FIFA Soccer 13,3DS,2012.0,Action,0.06,0.2,0.0,0.03,68.0,3.7,E
6037,Sonic Boom: Shattered Crystal,3DS,2014.0,Action,0.17,0.09,0.0,0.03,47.0,6.3,E
6052,Dragon Ball Heroes: Ultimate Mission,3DS,2013.0,Misc,0.0,0.0,0.29,0.0,,,
6071,Sonic & All-Stars Racing Transformed,3DS,2012.0,Racing,0.12,0.14,0.0,0.02,,,
6162,Monster Hunter Stories,3DS,2016.0,Action,0.0,0.0,0.28,0.0,,,
6186,Moshi Monsters: Moshlings Theme Park,3DS,2012.0,Misc,0.13,0.13,0.0,0.03,,tbd,E
6193,Skylanders: Trap Team,3DS,2014.0,Action,0.16,0.1,0.0,0.02,,3.4,E10+
6241,Kobitodzukan: Kobito Kansatsu Set,3DS,2012.0,Misc,0.0,0.0,0.28,0.0,,,
6246,Ace Attorney 6,3DS,2016.0,Adventure,0.0,0.0,0.27,0.0,,,
6334,Rhythm Thief & the Emperor's Treasure,3DS,2012.0,Misc,0.07,0.07,0.12,0.01,,,
6336,Tohoku Daigaku Karei Igaku Kenkyuusho - Kawashima Ryuuta Kyouju Kanshuu - Mono Sugoku Nou o Kitaeru 5-Funkan no Oni Training,3DS,2012.0,Action,0.0,0.0,0.27,0.0,,,
6350,Batman: Arkham Origins Blackgate,3DS,2013.0,Action,0.16,0.09,0.0,0.02,68.0,6.8,T
6377,Ultimate NES Remix,3DS,2014.0,Action,0.15,0.09,0.0,0.02,69.0,7.6,E
6433,Aikatsu! 2-nin no My Princess,3DS,2013.0,Action,0.0,0.0,0.26,0.0,,,
6459,Inazuma Eleven GO 3: Galaxy,3DS,2013.0,Sports,0.0,0.0,0.26,0.0,,,
6469,Etrian Odyssey Untold: The Millennium Girl,3DS,2013.0,Role-Playing,0.1,0.01,0.14,0.01,80.0,8.2,T
6609,Zoo Resort 3D,3DS,2011.0,Simulation,0.11,0.09,0.03,0.02,,tbd,E
6627,How to Train Your Dragon 2,3DS,2014.0,Adventure,0.04,0.19,0.0,0.02,,tbd,E10+
6629,The Legend of Legacy,3DS,2015.0,Role-Playing,0.12,0.01,0.1,0.02,67.0,7.1,E10+
6769,Stella Glow,3DS,2015.0,Role-Playing,0.16,0.01,0.05,0.02,79.0,8.7,T
6779,Skylanders SWAP Force,3DS,2013.0,Platform,0.1,0.12,0.0,0.02,68.0,6.4,E10+
6796,Ace Combat: Assault Horizon Legacy,3DS,2011.0,Simulation,0.1,0.06,0.08,0.01,71.0,7.8,T
6825,Chibi-Robo! Zip Lash,3DS,2015.0,Platform,0.09,0.08,0.06,0.02,,,
6859,LEGO The Hobbit,3DS,2014.0,Action,0.1,0.12,0.0,0.02,,,
6871,FIFA 14,3DS,2013.0,Sports,0.0,0.22,0.0,0.01,,,
6877,Etrian Mystery Dungeon,3DS,2015.0,Role-Playing,0.09,0.01,0.13,0.01,77.0,7.9,E10+
6945,Girls Mode 3: Kirakira Code,3DS,2015.0,Action,0.0,0.0,0.23,0.0,,,
